Timestamp: 2023-11-03_11-34-29, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-34-30, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-34-31, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-34-32, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-43-04, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-43-06, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-43-07, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-43-08, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-43-09, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-43-10, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-43-11, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-43-12, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-43-13, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-43-14, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-43-15, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-43-16, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-43-17, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-43-18, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-43-20, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-43-21, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-43-22, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-43-23, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-43-24, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-43-25, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-43-26, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-43-27, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-43-28, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-43-29, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-43-30, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-43-31, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-43-33, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-43-34, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-43-35, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-43-36, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-43-37, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-43-38, Exposure Time: 1995.0
Timestamp: 2023-11-03_11-43-39, Exposure Time: 1995.0
